LAMMPS data file via write_data, version 27 Aug 2016, timestep = 2300550

150 atoms
2 atom types

0.0000000000000000e+00 1.3343400000000001e+01 xlo xhi
0.0000000000000000e+00 1.3343400000000001e+01 ylo yhi
0.0000000000000000e+00 1.3343400000000001e+01 zlo zhi

Atoms # charge

70 2 -9.4499999999999995e-01 1.3681170078310014e+00 4.3479652349854554e+00 1.2782676319067185e+00 1 2 -1
128 2 -9.4499999999999995e-01 2.9030956007633297e+00 6.5415869058078444e+00 6.3720955435280369e-01 1 -1 -1
40 1 1.8899999999999999e+00 3.4234373508923377e+00 1.0675024441006529e+00 2.2786734741833126e+00 0 0 -1
32 1 1.8899999999999999e+00 9.2397411606599245e-01 2.9278524902629419e+00 2.1236051815197690e+00 0 1 0
50 1 1.8899999999999999e+00 1.4483833516717175e+00 5.8205560884726699e+00 5.8426420389051670e-01 0 0 -1
101 2 -9.4499999999999995e-01 3.3150184822301689e+00 6.1404877831133731e-01 7.0791614155143612e-01 -1 0 0
95 2 -9.4499999999999995e-01 2.0169541824590720e-01 1.7368458736674666e+00 1.2333247364555220e+00 1 0 0
62 2 -9.4499999999999995e-01 2.3563843818142312e+00 2.2021168760658352e+00 2.6000862825405329e+00 0 -1 0
124 2 -9.4499999999999995e-01 4.9651419019905196e+00 1.4678947610510729e+00 2.5397953599484837e+00 0 1 1
55 1 1.8899999999999999e+00 6.4260293245681650e+00 9.2758351414971052e-01 3.0435911408373051e+00 -1 0 0
54 1 1.8899999999999999e+00 5.8283205376416758e+00 6.5127539777022507e+00 4.5889574984335333e+00 1 -1 1
21 2 -9.4499999999999995e-01 4.3150458800769558e+00 6.4084314603279706e+00 3.9395600880003916e+00 0 0 -1
14 2 -9.4499999999999995e-01 4.7588662182043565e-02 3.3425031528583844e+00 3.3554662533848152e+00 0 1 1
68 2 -9.4499999999999995e-01 2.0237409883758128e+00 6.1440511273764011e+00 5.2917539799602924e+00 0 2 0
72 2 -9.4499999999999995e-01 1.7176452159629687e+00 5.2596940845870339e+00 7.6610402841505936e+00 0 2 0
94 1 1.8899999999999999e+00 1.3700508352263523e+00 1.1769891225313047e+00 6.7922072586763624e+00 0 1 -1
36 2 -9.4499999999999995e-01 2.9932743698463851e+00 1.2539400673077461e+00 7.2055730707386036e+00 -2 0 1
146 2 -9.4499999999999995e-01 5.7818908234765569e+00 5.7630364858104226e+00 6.0094546023548290e+00 1 1 0
19 1 1.8899999999999999e+00 7.9540611059471911e-01 5.8026365737365442e+00 6.3535015448355008e+00 0 0 0
20 1 1.8899999999999999e+00 4.4529773161749082e+00 6.2021786174775473e-01 7.5645806101827704e+00 0 1 0
113 2 -9.4499999999999995e-01 5.7228763976486636e+00 1.6948632043758352e+00 7.7033495953580315e+00 0 0 0
79 2 -9.4499999999999995e-01 1.1524881268427972e-01 1.5472267128487776e+00 7.7883605802859108e+00 0 0 0
42 2 -9.4499999999999995e-01 1.0550566502379988e+00 2.2039294002057526e+00 5.5313065195832181e+00 1 -1 1
127 2 -9.4499999999999995e-01 2.9774297221575186e+00 3.7970995964577372e+00 9.8264938400718123e+00 1 1 0
33 1 1.8899999999999999e+00 1.9704478626154625e+00 4.9919277920231222e+00 9.2781238222538587e+00 -1 1 0
116 2 -9.4499999999999995e-01 5.4981594436712919e+00 2.6431046619560874e+00 1.0075364627133048e+01 1 0 0
112 2 -9.4499999999999995e-01 4.7125257732493403e-01 5.0381448822308492e+00 9.9361133647510123e+00 -1 -1 -1
131 2 -9.4499999999999995e-01 6.3645025407210154e+00 4.2881292434331906e+00 8.2409264190689751e+00 0 -1 0
56 2 -9.4499999999999995e-01 2.6793390719144021e+00 6.3358359902083148e+00 1.0025433894406003e+01 1 0 -2
52 1 1.8899999999999999e+00 6.4367946978603623e+00 2.7242329151692388e+00 8.7191396452754439e+00 -2 1 0
139 2 -9.4499999999999995e-01 3.6732629513168207e+00 2.1406920814860841e+00 1.1839388808774492e+01 0 0 -1
117 2 -9.4499999999999995e-01 4.8947268175328817e+00 4.6166509327050278e+00 1.1561264245921716e+01 0 -1 -1
77 1 1.8899999999999999e+00 4.0557807247279420e+00 7.2612663229403551e-01 1.2569626361106224e+01 0 0 1
110 2 -9.4499999999999995e-01 9.2733035896829941e-01 5.6007997623339580e+00 1.2408322422793107e+01 1 0 -2
16 1 1.8899999999999999e+00 6.1892803767241782e+00 5.5098899443399461e+00 1.1973455212330498e+01 0 0 -1
9 2 -9.4499999999999995e-01 5.6746897602005406e+00 8.6290821417269892e-01 1.3079302325310806e+01 0 1 -1
149 2 -9.4499999999999995e-01 6.6529657865730174e+00 6.5136576923071212e+00 1.0794508159267552e+01 0 -2 0
140 2 -9.4499999999999995e-01 5.6161975231031667e+00 6.4345090597487129e+00 1.3237303172124502e+01 0 0 0
34 1 1.8899999999999999e+00 4.1924633507807840e+00 3.3922325387590093e+00 1.0839292939368260e+01 -1 1 -1
83 1 1.8899999999999999e+00 5.5026435086659573e+00 9.8571219269815398e+00 1.6098280652862997e+00 -1 -1 1
65 1 1.8899999999999999e+00 4.2413147594904173e+00 7.3317301825478536e+00 1.0763813596896764e-01 1 0 1
104 2 -9.4499999999999995e-01 4.6356864561511033e+00 8.5109601863786395e+00 1.1825567114941093e+00 1 1 0
138 2 -9.4499999999999995e-01 4.4091249347948889e+00 1.0945198786613034e+01 2.1545864648683648e+00 0 0 1
